"title","url"
"Java “Supported Versions Affected” column in Critical Patch Update Advisory","https://stackoverflow.com/questions/51422179/java-supported-versions-affected-column-in-critical-patch-update-advisory"
"User authentication with no password but certificate instead?","https://stackoverflow.com/questions/51420377/user-authentication-with-no-password-but-certificate-instead"
"Validation Required issue by IBM AppScan","https://stackoverflow.com/questions/51417611/validation-required-issue-by-ibm-appscan"
"WSSPolicyException while generating client stub using Axis2","https://stackoverflow.com/questions/51400772/wsspolicyexception-while-generating-client-stub-using-axis2"
"Understanding the difference of permitAll() and anonymous() in Spring Security","https://stackoverflow.com/questions/51395906/understanding-the-difference-of-permitall-and-anonymous-in-spring-security"
"How to check Cryptography on Android with java","https://stackoverflow.com/questions/51385634/how-to-check-cryptography-on-android-with-java"
"Spring Security X509 - 403 Forbidden","https://stackoverflow.com/questions/51363021/spring-security-x509-403-forbidden"
"Java Spring Security 5 OAuth2 with google and facebook","https://stackoverflow.com/questions/51362570/java-spring-security-5-oauth2-with-google-and-facebook"
"CVE mapping to Java library","https://stackoverflow.com/questions/51346879/cve-mapping-to-java-library"
"How to Java Web Start from a local html file?","https://stackoverflow.com/questions/51333002/how-to-java-web-start-from-a-local-html-file"
"DailogFlow Java Integeration","https://stackoverflow.com/questions/51321795/dailogflow-java-integeration"
"Java RSA encryption faild","https://stackoverflow.com/questions/51308324/java-rsa-encryption-faild"
"It is safe to send data with DataOutputStream over socket connection?","https://stackoverflow.com/questions/51299586/it-is-safe-to-send-data-with-dataoutputstream-over-socket-connection"
"2 way TLS with CA signed certificate","https://stackoverflow.com/questions/51295359/2-way-tls-with-ca-signed-certificate"
